1er mai 2016,"10,75 $","9,20 $","10,75 $"
1er mai 2015,"10,55 $","9,05 $","10,55 $"
1er mai 2014,"10,35 $","8,90 $","10,35 $"
1er mai 2013,"10,15 $","8,75 $","10,15 $"
1er mai 2012,"9,90 $","8,55$","9,90 $"
1er mai 2011,"9,65 $","8,35$","9,65 $"
1er mai 2010,"9,50 $","8,25$","9,50 $"
1er mai 2009,"9,00 $","8,00$","9,00 $"
1er mai 2008,"8,50 $","7,75$","8,50 $"
1er mai 2007,"8,00 $","7,25$","8,25 $"
1er mai 2006,"7,75 $","7,00$","8,25 $"
1er mai 2005,"7,60 $","6,85$","8,10 $"
1er mai 2004,"7,45 $","6,70$","8,00 $"
1er janvier 2004,"7,30 $","6,55$","8,00 $"
1er mai 2003,"7,30 $","6,55$","7,30 $ Le même que le taux général"
1er février 2003,"7,30 $","6,55$",
1er octobre 2002,"7,20 $","6,45$",
1er février 2001,"7,00 $","6,25$",
1er octobre 2000,"6,90 $","6,15$",
1er octobre 1999,"6,90 $","6,15$",
1er octobre 1998,"6,90 $","6,15$",
1er octobre 1997,"6,80 $","6,05$",
1er octobre 1996,"6,70 $","5,95$",
1er octobre 1995,"6,45 $","5,73$",
1er octobre 1994,"6,00 $","5,28$",
1er octobre 1993,"5,85 $","5,13$",
1er octobre 1992,"5,70 $","5,00$",
1er octobre 1991,"5,55 $","4,83$",
1er octobre 1990,"5,30 $","4,58$",
1er octobre 1989,"5,00 $","4,28$",
1er octobre 1988,"4,75 $","4,03$",
1er octobre 1987,"4,55 $","3,83$",
1er octobre 1986,"4,35 $","3,63$",
